frame,vehicle_count,density
frame_00000.jpg,14,medium
frame_00001.jpg,12,medium
frame_00002.jpg,13,medium
frame_00003.jpg,14,medium
frame_00004.jpg,8,medium
frame_00005.jpg,11,medium
frame_00006.jpg,10,medium
frame_00007.jpg,9,medium
frame_00008.jpg,13,medium
frame_00009.jpg,13,medium
frame_00010.jpg,11,medium
frame_00011.jpg,12,medium
frame_00012.jpg,15,medium
frame_00013.jpg,8,medium
frame_00014.jpg,9,medium
frame_00015.jpg,8,medium
frame_00016.jpg,11,medium
frame_00017.jpg,14,medium
frame_00018.jpg,7,medium
frame_00019.jpg,14,medium
frame_00020.jpg,12,medium
